id_client,First_Name,Gender,Job_Title,State_Name,Category,Card_Type,Price
1,Domingo,Male,Structural Analysis Engineer,TX,Outdoors,mastercard,16.97
2,Russell,Male,Speech Pathologist,MI,Grocery,mastercard,143.39
3,Kimble,Male,Account Coordinator,AL,Music,mastercard,37.64
4,Barnabas,Male,General Manager,IL,Jewelry,mastercard,8.51
5,Tanney,Female,VP Marketing,MN,Outdoors,mastercard,61.95
5,Tanney,Female,VP Marketing,MN,Grocery,mastercard,28.42
6,Launce,Male,Automation Specialist I,VA,Outdoors,mastercard,15.96
7,Adham,Male,Project Manager,CO,Beauty,mastercard,149.02
8,Dante,Male,Geological Engineer,TX,Games,mastercard,97.38
9,Hi,Female,Senior Cost Accountant,PA,Outdoors,mastercard,139.96
10,Carmine,Female,Statistician II,CA,Shoes,mastercard,55.45
11,Waring,Female,Software Consultant,NC,Jewelry,mastercard,96.16
12,Cori,Female,Senior Sales Associate,CA,Computers,mastercard,104.93
13,Rodge,Genderfluid,Health Coach III,TX,Baby,mastercard,92.52
14,Nikolos,Male,Geologist III,TX,Grocery,mastercard,108.42
15,Guy,Female,Senior Cost Accountant,DC,Shoes,mastercard,144.17
16,Anton,Male,Media Manager II,TX,Computers,mastercard,5.45
17,Willem,Female,Media Manager II,VA,Sports,mastercard,5.12
17,Willem,Female,Media Manager II,VA,Industrial,mastercard,27.87
18,Timothy,Female,Marketing Manager,OH,Games,mastercard,29.3
18,Timothy,Female,Marketing Manager,OH,Automotive,mastercard,116.19
19,Sheridan,Male,Assistant Manager,MD,Toys,mastercard,9.34
19,Sheridan,Male,Assistant Manager,MD,Computers,mastercard,3.72
20,Kalil,Genderfluid,Senior Editor,LA,Music,mastercard,94.53
20,Kalil,Genderfluid,Senior Editor,LA,Kids,mastercard,36.02
21,Augusto,Female,Research Nurse,LA,Computers,mastercard,16.72
21,Augusto,Female,Research Nurse,LA,Outdoors,mastercard,31.34
22,Duffie,Female,Information Systems Manager,LA,Tools,mastercard,32.56
22,Duffie,Female,Information Systems Manager,LA,Home,mastercard,72.98
23,Clyde,Female,Dental Hygienist,FL,Beauty,mastercard,6.84
23,Clyde,Female,Dental Hygienist,FL,Sports,mastercard,72.91
24,Harcourt,Female,Web Designer III,GA,Grocery,mastercard,10.44
24,Harcourt,Female,Web Designer III,GA,Beauty,mastercard,76.3
25,Elwyn,Male,Senior Developer,LA,Clothing,mastercard,85.65
25,Elwyn,Male,Senior Developer,LA,Music,mastercard,97.94
26,Desmund,Female,Senior Sales Associate,LA,Industrial,mastercard,133.3
26,Desmund,Female,Senior Sales Associate,LA,Music,mastercard,77.58
27,Emelen,Male,Project Manager,TX,Baby,mastercard,69.98
27,Emelen,Male,Project Manager,TX,Baby,mastercard,129.78
28,Mattheus,Female,Pharmacist,MI,Jewelry,mastercard,48.58
28,Mattheus,Female,Pharmacist,MI,Electronics,mastercard,64.54
29,Jonas,Male,Cost Accountant,MI,Home,mastercard,142.53
